city,year,month,month_name,metric,temp_f,humidity_pct,pressure_inHg
Novosibirsk,2025,1,January,High,34.0,95.0,31.22
Novosibirsk,2025,1,January,Low,-20.0,45.0,29.23
Novosibirsk,2025,1,January,Average,14.0,79.0,30.26
Novosibirsk,2025,2,February,High,28.0,94.0,31.09
Novosibirsk,2025,2,February,Low,-6.0,33.0,29.61
Novosibirsk,2025,2,February,Average,13.0,79.0,30.46
Novosibirsk,2025,3,March,High,52.0,95.0,30.81
Novosibirsk,2025,3,March,Low,0.0,31.0,29.5
Novosibirsk,2025,3,March,Average,26.0,67.0,30.24
Novosibirsk,2025,4,April,High,80.0,98.0,30.44
Novosibirsk,2025,4,April,Low,20.0,13.0,28.94
Novosibirsk,2025,4,April,Average,44.0,58.0,29.94
Novosibirsk,2025,5,May,High,85.0,98.0,30.38
Novosibirsk,2025,5,May,Low,29.0,15.0,29.47
Novosibirsk,2025,5,May,Average,53.0,58.0,29.94
Novosibirsk,2025,6,June,High,90.0,96.0,30.09
Novosibirsk,2025,6,June,Low,48.0,23.0,29.38
Novosibirsk,2025,6,June,Average,69.0,64.0,29.77
Novosibirsk,2025,7,July,High,86.0,97.0,30.07
Novosibirsk,2025,7,July,Low,40.0,34.0,29.35
Novosibirsk,2025,7,July,Average,66.0,72.0,29.68
Novosibirsk,2025,8,August,High,78.0,97.0,30.13
Novosibirsk,2025,8,August,Low,41.0,36.0,29.44
Novosibirsk,2025,8,August,Average,61.0,77.0,29.77
Novosibirsk,2025,9,September,High,82.0,97.0,30.42
Novosibirsk,2025,9,September,Low,22.0,28.0,29.63
Novosibirsk,2025,9,September,Average,53.0,73.0,30.0
Novosibirsk,2025,10,October,High,50.0,98.0,30.88
Novosibirsk,2025,10,October,Low,14.0,30.0,29.8
Novosibirsk,2025,10,October,Average,32.0,77.0,30.37
Novosibirsk,2025,11,November,High,53.0,98.0,30.81
Novosibirsk,2025,11,November,Low,-19.0,50.0,29.54
Novosibirsk,2025,11,November,Average,23.0,84.0,30.18
Novosibirsk,2025,12,December,High,33.0,97.0,30.72
Novosibirsk,2025,12,December,Low,-26.0,42.0,29.68
Novosibirsk,2025,12,December,Average,10.0,79.0,30.19
Raleigh,2025,1,January,High,76.0,97.0,30.6
Raleigh,2025,1,January,Low,17.0,17.0,29.54
Raleigh,2025,1,January,Average,39.0,53.0,30.11
Raleigh,2025,2,February,High,80.0,90.0,30.65
Raleigh,2025,2,February,Low,19.0,15.0,29.43
Raleigh,2025,2,February,Average,47.0,60.0,30.12
Raleigh,2025,3,March,High,83.0,96.0,30.38
Raleigh,2025,3,March,Low,28.0,14.0,29.34
Raleigh,2025,3,March,Average,58.0,51.0,29.96
Raleigh,2025,4,April,High,89.0,91.0,30.38
Raleigh,2025,4,April,Low,38.0,16.0,29.59
Raleigh,2025,4,April,Average,67.0,59.0,30.08
Raleigh,2025,5,May,High,89.0,91.0,30.27
Raleigh,2025,5,May,Low,50.0,19.0,29.56
Raleigh,2025,5,May,Average,71.0,68.0,29.96
Raleigh,2025,6,June,High,100.0,94.0,30.25
Raleigh,2025,6,June,Low,52.0,27.0,29.7
Raleigh,2025,6,June,Average,81.0,68.0,30.02
Raleigh,2025,7,July,High,98.0,97.0,30.22
Raleigh,2025,7,July,Low,68.0,31.0,29.77
Raleigh,2025,7,July,Average,82.0,73.0,30.02
Raleigh,2025,8,August,High,91.0,100.0,30.3
Raleigh,2025,8,August,Low,57.0,32.0,29.78
Raleigh,2025,8,August,Average,74.0,79.0,30.08
Raleigh,2025,9,September,High,94.0,100.0,30.24
Raleigh,2025,9,September,Low,55.0,30.0,29.81
Raleigh,2025,9,September,Average,71.0,75.0,30.05
Raleigh,2025,10,October,High,85.0,100.0,30.43
Raleigh,2025,10,October,Low,39.0,22.0,29.57
Raleigh,2025,10,October,Average,60.0,72.0,30.08
Raleigh,2025,11,November,High,76.0,100.0,30.57
Raleigh,2025,11,November,Low,23.0,15.0,29.54
Raleigh,2025,11,November,Average,53.0,62.0,30.07
Raleigh,2025,12,December,High,71.0,100.0,30.6
Raleigh,2025,12,December,Low,15.0,15.0,29.55
Raleigh,2025,12,December,Average,42.0,68.0,30.09
