city,month,metric,temperature,humidity,pressure
Novosibirsk,1,High,"34 °F (Jan 4, 4:00 pm)","95% (Jan 5, 1:00 am)","31.22 ""Hg (Jan 5, 1:00 am)"
Novosibirsk,1,Low,"-20 °F (Jan 24, 10:00 am)","45% (Jan 27, 4:00 pm)","29.23 ""Hg (Jan 22, 10:00 am)"
Novosibirsk,1,Average,14 °F,79%,"30.26 ""Hg"
Novosibirsk,2,High,"28 °F (Feb 10, 4:00 pm)","94% (Feb 4, 7:00 am)","31.09 ""Hg (Feb 4, 7:00 am)"
Novosibirsk,2,Low,"-6 °F (Feb 8, 7:00 am)","33% (Feb 23, 4:00 pm)","29.61 ""Hg (Feb 13, 4:00 pm)"
Novosibirsk,2,Average,13 °F,79%,"30.46 ""Hg"
Novosibirsk,3,High,"52 °F (Mar 30, 4:00 pm)","95% (Mar 21, 7:00 pm)","30.81 ""Hg (Mar 21, 7:00 pm)"
Novosibirsk,3,Low,"0 °F (Mar 13, 7:00 am)","31% (Mar 16, 4:00 pm)","29.50 ""Hg (Mar 7, 10:00 am)"
Novosibirsk,3,Average,26 °F,67%,"30.24 ""Hg"
Novosibirsk,4,High,"80 °F (Apr 12, 4:00 pm)","98% (Apr 21, 4:00 am)","30.44 ""Hg (Apr 21, 4:00 am)"
Novosibirsk,4,Low,"20 °F (Apr 20, 1:00 am)","13% (Apr 12, 4:00 pm)","28.94 ""Hg (Apr 5, 1:00 am)"
Novosibirsk,4,Average,44 °F,58%,"29.94 ""Hg"
Novosibirsk,5,High,"85 °F (May 23, 4:00 pm)","98% (May 29, 4:00 am)","30.38 ""Hg (May 29, 4:00 am)"
Novosibirsk,5,Low,"29 °F (May 12, 4:00 am)","15% (May 1, 4:00 pm)","29.47 ""Hg (May 10, 7:00 pm)"
Novosibirsk,5,Average,53 °F,58%,"29.94 ""Hg"
Novosibirsk,6,High,"90 °F (Jun 19, 7:00 pm)","96% (Jun 9, 1:00 am)","30.09 ""Hg (Jun 9, 1:00 am)"
Novosibirsk,6,Low,"48 °F (Jun 9, 4:00 am)","23% (Jun 2, 4:00 pm)","29.38 ""Hg (Jun 30, 4:00 pm)"
Novosibirsk,6,Average,69 °F,64%,"29.77 ""Hg"
Novosibirsk,7,High,"86 °F (Jul 28, 4:00 pm)","97% (Jul 1, 7:00 pm)","30.07 ""Hg (Jul 1, 7:00 pm)"
Novosibirsk,7,Low,"40 °F (Jul 22, 4:00 am)","34% (Jul 23, 4:00 pm)","29.35 ""Hg (Jul 5, 10:00 pm)"
Novosibirsk,7,Average,66 °F,72%,"29.68 ""Hg"
Novosibirsk,8,High,"78 °F (Aug 1, 4:00 pm)","97% (Aug 5, 7:00 am)","30.13 ""Hg (Aug 5, 7:00 am)"
Novosibirsk,8,Low,"41 °F (Aug 5, 7:00 am)","36% (Aug 28, 4:00 pm)","29.44 ""Hg (Aug 15, 10:00 am)"
Novosibirsk,8,Average,61 °F,77%,"29.77 ""Hg"
Novosibirsk,9,High,"82 °F (Sep 25, 4:00 pm)","97% (Sep 5, 4:00 am)","30.42 ""Hg (Sep 5, 4:00 am)"
Novosibirsk,9,Low,"22 °F (Sep 30, 7:00 am)","28% (Sep 19, 4:00 pm)","29.63 ""Hg (Sep 1, 1:00 am)"
Novosibirsk,9,Average,53 °F,73%,"30.00 ""Hg"
Novosibirsk,10,High,"50 °F (Oct 25, 4:00 pm)","98% (Oct 4, 10:00 pm)","30.88 ""Hg (Oct 4, 10:00 pm)"
Novosibirsk,10,Low,"14 °F (Oct 16, 7:00 am)","30% (Oct 1, 4:00 pm)","29.80 ""Hg (Oct 3, 1:00 am)"
Novosibirsk,10,Average,32 °F,77%,"30.37 ""Hg"
Novosibirsk,11,High,"53 °F (Nov 1, 4:00 pm)","98% (Nov 3, 10:00 am)","30.81 ""Hg (Nov 3, 10:00 am)"
Novosibirsk,11,Low,"-19 °F (Nov 29, 10:00 am)","50% (Nov 17, 4:00 am)","29.54 ""Hg (Nov 10, 10:00 am)"
Novosibirsk,11,Average,23 °F,84%,"30.18 ""Hg"
Novosibirsk,12,High,"33 °F (Dec 31, 1:00 pm)","97% (Dec 5, 7:00 am)","30.72 ""Hg (Dec 5, 7:00 am)"
Novosibirsk,12,Low,"-26 °F (Dec 9, 10:00 am)","42% (Dec 30, 4:00 pm)","29.68 ""Hg (Dec 26, 4:00 pm)"
Novosibirsk,12,Average,10 °F,79%,"30.19 ""Hg"
Raleigh,1,High,"76 °F (Jan 31, 2:51 pm)","97% (Jan 28, 1:51 am)","30.60 ""Hg (Jan 28, 1:51 am)"
Raleigh,1,Low,"17 °F (Jan 23, 12:51 am)","17% (Jan 5, 1:51 pm)","29.54 ""Hg (Jan 6, 2:51 pm)"
Raleigh,1,Average,39 °F,53%,"30.11 ""Hg"
Raleigh,2,High,"80 °F (Feb 4, 2:51 pm)","90% (Feb 1, 12:51 am)","30.65 ""Hg (Feb 1, 12:51 am)"
Raleigh,2,Low,"19 °F (Feb 21, 6:51 am)","15% (Feb 7, 2:51 pm)","29.43 ""Hg (Feb 16, 12:51 pm)"
Raleigh,2,Average,47 °F,60%,"30.12 ""Hg"
Raleigh,3,High,"83 °F (Mar 12, 3:51 pm)","96% (Mar 5, 1:07 pm)","30.38 ""Hg (Mar 5, 1:07 pm)"
Raleigh,3,Low,"28 °F (Mar 3, 6:51 am)","14% (Mar 1, 6:51 pm)","29.34 ""Hg (Mar 5, 4:51 pm)"
Raleigh,3,Average,58 °F,51%,"29.96 ""Hg"
Raleigh,4,High,"89 °F (Apr 4, 3:51 pm)","91% (Apr 23, 5:51 am)","30.38 ""Hg (Apr 23, 5:51 am)"
Raleigh,4,Low,"38 °F (Apr 9, 6:51 am)","16% (Apr 15, 5:51 pm)","29.59 ""Hg (Apr 7, 3:51 pm)"
Raleigh,4,Average,67 °F,59%,"30.08 ""Hg"
Raleigh,5,High,"89 °F (May 2, 2:51 pm)","91% (May 14, 4:51 am)","30.27 ""Hg (May 14, 4:51 am)"
Raleigh,5,Low,"50 °F (May 24, 4:51 am)","19% (May 22, 6:51 pm)","29.56 ""Hg (May 31, 4:51 pm)"
Raleigh,5,Average,71 °F,68%,"29.96 ""Hg"
Raleigh,6,High,"100 °F (Jun 24, 4:51 pm)","94% (Jun 16, 10:51 pm)","30.25 ""Hg (Jun 16, 10:51 pm)"
Raleigh,6,Low,"52 °F (Jun 1, 3:51 am)","27% (Jun 3, 4:51 pm)","29.70 ""Hg (Jun 8, 5:51 pm)"
Raleigh,6,Average,81 °F,68%,"30.02 ""Hg"
Raleigh,7,High,"98 °F (Jul 27, 2:51 pm)","97% (Jul 2, 6:04 pm)","30.22 ""Hg (Jul 2, 6:04 pm)"
Raleigh,7,Low,"68 °F (Jul 23, 4:51 am)","31% (Jul 29, 2:51 pm)","29.77 ""Hg (Jul 6, 7:51 pm)"
Raleigh,7,Average,82 °F,73%,"30.02 ""Hg"
Raleigh,8,High,"91 °F (Aug 17, 2:51 pm)","100% (Aug 6, 5:51 am)","30.30 ""Hg (Aug 6, 5:51 am)"
Raleigh,8,Low,"57 °F (Aug 27, 10:51 pm)","32% (Aug 27, 3:51 pm)","29.78 ""Hg (Aug 21, 4:51 am)"
Raleigh,8,Average,74 °F,79%,"30.08 ""Hg"
Raleigh,9,High,"94 °F (Sep 6, 2:51 pm)","100% (Sep 2, 5:51 am)","30.24 ""Hg (Sep 2, 5:51 am)"
Raleigh,9,Low,"55 °F (Sep 1, 3:51 am)","30% (Sep 20, 2:51 pm)","29.81 ""Hg (Sep 25, 5:51 pm)"
Raleigh,9,Average,71 °F,75%,"30.05 ""Hg"
Raleigh,10,High,"85 °F (Oct 7, 1:51 pm)","100% (Oct 2, 4:51 am)","30.43 ""Hg (Oct 2, 4:51 am)"
Raleigh,10,Low,"39 °F (Oct 25, 7:51 am)","22% (Oct 22, 3:51 pm)","29.57 ""Hg (Oct 30, 2:51 pm)"
